Id,Modulo,Nodo,Punto,Especie,Genero,Epiteto,Sexo,Edad,Est Reprod,LP,LO,LCO,LCU,LT,LV,Peso (g),Fecha,Obs
16,1,63,A1,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
1,1,63,C2,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
11,1,63,C9,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
2,1,63,C12,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
13,1,63,C17,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
22,1,63,D11,Peromyscus sp.,,,,,,,,,,0,,,17/12/2021,Recaptura
14,1,63,D13,Liomys irroratus,Liomys ,irroratus,,,,,,,,0,,,17/12/2021,Recaptura
1,0,57,A6,Peromyscus sp.,,,H,SA,Ad,21.3,16,89,79,168,,30,22/12/2021,
2,0,57,D2,Peromyscus sp.,,,H,SA,Ad,20,15.2,100,93,193,,34,22/12/2021,
3,0,57,C6,Peromyscus sp.,,,H,SA,Ad,19,20,90,76,166,,24,23/12/2021,
1,1,64,B2,Liomys irroratus,Liomys ,irroratus,M,Juv,TI,29.5,15.8,122,100,222,,37,2/17/2022,Presencia de ácaros rojos
2,1,64,B3,Peromyscus sp.,Peromyscus,morfo 1,M,Juv,TI,22.2,19.2,90,80,170,,10,2/17/2022,"Morfo gris, sin parasitos"
3,1,64,B4,Peromyscus sp.,,morfo 1,H,Juv,SC,20.4,16.1,91,74,165,,8,2/17/2022,"Pelaje gris en el dorso, vientre base oscura punta blanca. Sin parasitos"
4,1,64,B6,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,M,SAd,,17.1,10.7,97,52,149,,9,2/17/2022,"Faltaron fotos, y pelo. Sin parásitos. Escapó"
5,1,64,B8,Peromyscus sp.,,,M,Juv,TI,19.1,16.5,72,75,147,,12,2/17/2022,
6,1,64,B9,Peromyscus sp.,,,M,Juv,TI,20.7,15.4,70,70,140,,14,2/17/2022,
7,1,64,B10 ,Liomys irroratus,Liomys ,irroratus,H,Ad,SA,30.4,15.1,110,100,210,,34,2/17/2022,"Mamas no desarrolladas, muesca en oreja izquierda"
8,1,64,C1,Peromyscus sp.,Peromyscus,morfo 1,H,Ad,SA,20.5,16,98,90,188,,28,2/17/2022,"Morfo café amarillo, mamas desarrolladas"
9,1,64,C2,Liomys irroratus,Liomys ,irroratus,H,Juv,SC,30.5,15,130,90,220,,39,2/17/2022,
10,1,64,C3,Liomys irroratus,Liomys ,irroratus,M,Ad,TE,31.2,14.4,127,120,247,,53,2/17/2022,Falto foto
11,1,64,C4,Peromyscus sp.,Peromyscus,morfo 1,H,Juv,,21,18.4,95,75,170,,23,2/17/2022,"Morfo café amarillo, Foto No 3106-3109"
12,1,64,C5,Peromyscus sp.,,morfo 1,M,Cría,TI,18.1,15,71,65,136,,13,2/17/2022,"Revisar Baiomys, morfo gris, Sin parasitos. Tener en cuenta cambio coloración en crías"
13,1,64,C8,Peromyscus sp.,,morfo 1,M,SAd,,20.2,17,91,80,171,,27,2/17/2022,Morfo amarillo-café. Sin parasitos
14,1,64,D1,Peromyscus sp.,,morfo 1,M,Juv,TI,20.6,14.4,,0,,32.7,16,2/17/2022,"Morfo gris, cola no bicoloreada. Base oscura y punta blanca"
15,1,64,D4,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,H,Ad,SA,19.1,9.5,95,47,142,19.1,12,2/17/2022,Sin parasitos
16,1,64,D5?,Peromyscus sp.,Peromyscus,morfo 1,M,,,20.3,15.6,84,75,159,32,22,2/17/2022,Morfo café-amarillo.Cola bicoloreada
17,1,64,D6,Liomys irroratus,Liomys ,irroratus,H,Ad,MD,32.4,15.8,123,101,224,33.6,43,2/17/2022,Hembra de gran tamaño. Presencia de ácaros rojos
18,1,64,D7,Liomys irroratus,Liomys ,irroratus,H,Ad,SA,30,14.7,128,98,226,33.5,41,2/17/2022,
19,1,64,E3,Peromyscus sp.,,morfo 1,H,Juv,SC,19.5,17.3,87,67,154,29.4,19,2/17/2022,Morfo café-gris. Sin parasitos
20,1,64,E5,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,H,Juv,SC,18.8,11.9,94,52,146,20.2,15,2/17/2022,Sin parasitos
21,1,64,E6,Reithrodontomys fulvescens,Reithrodontomys,fulvescens,H,,,18.7,10,98,54,152,24.6,12,2/17/2022,
22,1,64,E7,Liomys irroratus,Liomys ,irroratus,H,Ad,SC,30.2,15.9,125,90,215,32.7,44,2/17/2022,
